id,label,from,to,prop.kind
commerce-raw-orders,CONTAINS_TABLE,dataset-commerce,table-raw-orders,physical
commerce-curated-orders,CONTAINS_TABLE,dataset-commerce,table-curated-orders,curated
finance-raw-payments,CONTAINS_TABLE,dataset-finance,table-raw-payments,physical
finance-revenue-mart,CONTAINS_TABLE,dataset-finance,table-mart-revenue,mart
orders-customer-column,CONTAINS_COLUMN,table-raw-orders,column-orders-customer,source-column
orders-amount-column,CONTAINS_COLUMN,table-raw-orders,column-orders-amount,source-column
revenue-total-column,CONTAINS_COLUMN,table-mart-revenue,column-revenue-total,metric-column
raw-orders-to-ingest,INPUT_TO_JOB,table-raw-orders,job-ingest-orders,read
orders-customer-to-ingest,COLUMN_INPUT_TO_JOB,column-orders-customer,job-ingest-orders,validated-input
ingest-to-curated,OUTPUTS_TABLE,job-ingest-orders,table-curated-orders,write
curated-orders-to-revenue,INPUT_TO_JOB,table-curated-orders,job-build-revenue,read
raw-payments-to-revenue,INPUT_TO_JOB,table-raw-payments,job-build-revenue,read
revenue-job-to-mart,OUTPUTS_TABLE,job-build-revenue,table-mart-revenue,write
mart-to-exec-revenue,FEEDS_DASHBOARD,table-mart-revenue,dashboard-exec-revenue,metric-source
curated-to-ops-quality,FEEDS_DASHBOARD,table-curated-orders,dashboard-ops-quality,quality-source
owner-platform-ingest,OWNS_JOB,owner-data-platform,job-ingest-orders,primary
owner-platform-quality,OWNS_DASHBOARD,owner-data-platform,dashboard-ops-quality,primary
owner-finance-revenue-job,OWNS_JOB,owner-finance-analytics,job-build-revenue,primary
owner-finance-dashboard,OWNS_DASHBOARD,owner-finance-analytics,dashboard-exec-revenue,primary
check-orders-customer-column,VALIDATES_COLUMN,check-orders-customer,column-orders-customer,not-null
